seg_id_nat,year,month,n,ANN_d001,ANN_d100,RGCN_d001,RGCN_d100,RGCN_ptrn_d001,RGCN_ptrn_d100,RNN_d001,RNN_d100
2007,2015,6,30,5.316831511,2.460465706,3.014868009,2.370654809,3.860272373,2.132092627,2.884756473,2.491029908
2012,2015,6,30,2.215246544,1.041608053,2.239480221,0.516384777,1.51648322,0.475206698,2.923072688,1.712328916
2013,2015,6,30,3.400066209,1.313970156,1.836811643,1.197874603,1.701223541,0.822574828,2.876915861,0.964716883
2014,2015,6,29,1.976408795,1.159482286,1.75904915,0.535851689,1.573239142,0.624377084,2.762498927,1.412671428
2019,2015,6,1,1.529132843,1.97394371,2.459157944,2.357624054,4.007070541,3.086545944,0.295061111,2.045944214
2020,2015,6,1,1.312933197,2.270631561,1.875301132,0.274404297,1.593312988,0.319820175,2.19249176,1.735097656
2021,2015,6,3,5.179702519,0.520917263,2.544014807,0.673365416,1.228362145,1.495467863,1.832417955,0.858640204
2023,2015,6,1,2.052954407,1.129328995,0.938578873,0.404540329,0.172353058,1.014408798,3.164566727,0.126220016
2027,2015,6,1,3.887964859,0.437452927,1.724123611,0.86359848,0.371714249,3.801334991,5.024038925,2.105591431
2030,2015,6,1,2.254774017,1.376310425,0.077476578,0.009931488,0.80558197,1.225172119,3.157663269,0.194408493
2031,2015,6,1,3.630352325,0.067928619,1.58508522,1.740351028,0.234663315,1.50768692,4.352945633,2.428951569
2033,2015,6,1,3.157603378,0.624195938,1.333502884,0.144856567,1.824198837,1.956953888,4.1611129,1.583962555
2034,2015,6,1,2.616109619,0.477289429,0.48984314,0.143572083,0.289665451,1.752013931,3.745771179,0.660062561
2036,2015,6,1,2.981650543,0.216025162,2.388756943,0.888588715,1.058533478,0.576601791,3.138617706,0.798937607
2037,2015,6,30,3.280271204,0.969646549,2.502033153,0.657879096,3.14813289,0.56770499,4.068036571,1.048938468
2044,2015,6,1,2.908140717,0.502491531,0.988789139,0.332569656,1.388704834,1.27978569,4.052393494,0.694823685
2046,2015,6,30,4.764972391,2.03331317,3.399510184,1.965063304,3.363553433,1.93438109,4.693477175,1.592718143
2007,2015,7,31,4.816327614,2.787039495,3.280503416,2.713158193,5.627989674,2.703613823,2.959812491,2.948041077
2012,2015,7,31,2.979028089,0.492625312,1.737811853,0.56191047,0.801601067,0.610302169,4.196486359,1.014230374
2013,2015,7,31,3.017497194,1.318180237,1.827044251,1.263787491,0.792513983,0.855429694,3.779023215,1.012535705
2014,2015,7,31,2.373679692,1.022401444,1.116649163,0.565507093,0.745004893,0.72803517,3.489249015,1.395045313
2019,2015,7,1,0.475981979,2.529740067,1.871948929,2.145466537,2.468188019,1.971369476,1.600022583,1.980860443
2020,2015,7,1,0.218405228,3.717404861,1.364345093,2.839141388,1.849750061,2.13240387,1.688707809,3.628009338
2021,2015,7,3,2.569641624,0.911755541,1.134191605,0.764547892,2.451144138,0.573840488,3.834648925,0.575910783
2023,2015,7,1,1.988814392,1.0225,0.52333931,1.905501328,0.270752945,0.03130249,3.613188782,0.521267853
2027,2015,7,1,3.861051483,0.352180405,1.974634094,0.1458358,1.827341003,2.327104492,5.464643402,1.163160248
2030,2015,7,1,0.325820007,3.646285019,0.827574692,2.9614534,1.707140884,1.90285965,1.939820328,3.592720947
2031,2015,7,1,2.259719086,1.796871948,0.753823471,0.872605133,0.017670441,0.740860748,3.708483887,0.268219757
2033,2015,7,1,2.793325729,1.899211578,1.274172134,1.103110962,1.032697983,0.177356415,4.504675217,0.121177368
2034,2015,7,1,1.425613861,1.64654686,0.017567139,2.410762329,0.471745987,0.207511444,3.072844009,1.067040939
2036,2015,7,1,1.884543686,0.946202011,0.579146652,1.262152405,0.229880066,0.021603317,3.78903511,0.430021973
2037,2015,7,31,3.833573894,1.022625219,2.351862303,0.734293432,1.85047891,0.430892989,5.14190881,0.485668237
2044,2015,7,1,2.012274094,0.361386948,1.481390305,0.364627533,0.819019623,0.307030029,3.839412994,1.282508545
2046,2015,7,31,4.8769452,2.6866818,3.965134162,2.016350334,2.23569533,1.828501776,5.880795738,2.124687711
2007,2015,8,24,2.042346736,2.415303457,2.407419035,3.51373554,7.707430601,3.334135531,2.897290734,2.044803554
2012,2015,8,31,2.440292116,0.732141927,0.898856646,0.529527347,1.306247055,0.568698244,3.643208514,1.456770484
2013,2015,8,31,2.434296404,1.18127991,1.297582475,0.854536843,1.32483532,0.674409648,3.384840416,0.827499207
2014,2015,8,31,2.539622206,0.897687774,0.580312904,0.400715496,1.152297616,0.621160046,3.666591263,1.103508571
2019,2015,8,1,0.798847961,0.67882843,2.362843704,0.788926315,3.033581924,0.228812408,1.867016602,1.230733109
2021,2015,8,3,0.786942918,1.049204422,2.574293536,1.050512606,3.377411692,0.490364209,1.897944981,0.894996071
2030,2015,8,1,3.913834076,0.786038895,0.120723267,0.629605789,0.053887863,0.269262772,5.099438171,1.310142059
2033,2015,8,1,4.465246506,1.364465408,0.60360939,0.640731506,0.551710434,0.551349945,5.686382599,1.087227173
2036,2015,8,1,4.270864944,0.458639603,1.281031113,0.050579529,0.229940872,1.31335495,5.574833374,0.328238983
2037,2015,8,31,3.833023256,0.737340838,1.338994852,0.417645588,1.094709521,0.455450827,5.125049723,0.805057756
2046,2015,8,31,4.84036217,2.507994006,3.209253307,1.468499006,1.528269472,1.198054472,5.986222116,1.77332803
2007,2016,6,30,2.908031973,2.86942578,2.862337338,2.905954248,5.820379958,2.671349661,4.122173951,2.461986682
2012,2016,6,30,1.859620402,0.805884508,1.787576679,0.400108194,1.547127491,0.409710998,2.796716017,1.119914516
2013,2016,6,30,2.303398475,1.258189112,1.49802122,0.923260514,1.390289176,0.680179271,2.355284611,0.944568066
2014,2016,6,30,1.498187548,1.327066895,1.535490871,0.562745768,1.322958561,0.692295937,2.363443523,0.952916605
2019,2016,6,2,3.018608372,4.943551302,4.361484376,3.990947237,3.324143135,4.48975699,2.823909996,4.400451592
2021,2016,6,3,1.586284024,2.173352771,2.062487556,2.000462357,2.262002538,1.729539229,1.991298339,1.803750671
2030,2016,6,1,0.929654083,3.206660309,3.082348862,2.393862762,2.983996353,2.202202835,2.055514297,2.798911133
2033,2016,6,1,3.086439285,1.571607437,0.989366379,0.91882309,5.240551147,1.158355865,4.257917557,0.835884247
2036,2016,6,1,2.61945961,0.309751053,0.341684799,0.653073807,4.274107437,0.252170105,3.790258865,0.261048813
2037,2016,6,27,2.717287551,1.06619955,1.860132132,0.7527881,3.129400819,0.686431609,3.769680393,0.818231628
2046,2016,6,30,4.085986326,2.035561024,2.997332724,1.943420202,3.639723974,2.114181833,4.634755365,2.407532448
2007,2016,7,31,3.442301871,3.906791209,3.99346145,3.642964232,8.517659373,3.586132571,4.305219317,3.359707427
2012,2016,7,31,3.801035243,0.616912197,1.238995388,0.534224202,0.82117517,0.721263167,4.936206993,1.354758027
2013,2016,7,31,3.650639224,1.379716074,1.883675483,1.235458018,0.793324366,0.627142197,4.516208018,0.936500666
2014,2016,7,31,3.639785658,0.920775398,0.897640583,0.598516578,0.963761363,0.868058276,4.732905786,1.148033611
2019,2016,7,1,1.115253448,2.134157181,2.290254593,2.236980438,2.941926956,1.966810226,2.196020126,2.551876068
2020,2016,7,1,0.478712845,3.148282242,3.575699997,2.871951294,2.256037903,2.835959625,1.589499283,3.428675842
2021,2016,7,3,2.778465275,1.372753069,2.779280818,1.158398227,2.567330997,1.139386928,3.839061612,0.993156547
2023,2016,7,1,1.638812714,1.681240387,1.633220978,2.294748611,0.929945297,1.298620529,2.843866043,1.132894821
2027,2016,7,1,4.50811203,0.438444214,0.657787399,0.029203339,1.450346069,2.179182129,5.716434555,1.386510925
2030,2016,7,1,1.339566498,2.609554977,3.001999588,2.048695297,1.407307358,1.702116699,2.464112549,2.782807083
2031,2016,7,1,2.470423126,1.456981277,1.648786163,0.522391891,0.459695435,1.501397705,3.557876968,0.090473557
2033,2016,7,1,2.69076416,2.410327225,1.491988449,1.121472626,0.030918808,0.313109665,3.886543961,0.275195389
2034,2016,7,1,2.052632675,1.4401194,1.146353378,2.215361252,0.702725067,0.900189056,3.260535583,0.846968307
2036,2016,7,1,1.870035706,1.29090065,1.492591324,1.404305878,1.42682785,0.49525589,3.097525177,1.46828598
2037,2016,7,30,5.080933828,0.784656428,2.115925897,0.586660127,2.142671226,0.972115272,6.276182607,0.865997665
2040,2016,7,1,8.720664368,2.892348633,5.107888565,1.845836029,2.337172852,3.038880692,9.950963364,4.564080582
2044,2016,7,1,1.808084106,1.39729538,2.045563126,1.629042053,0.218418503,1.677734756,3.033372498,2.57792511
2046,2016,7,31,6.193434806,2.828085422,3.721287526,2.250078022,2.815763006,1.405624756,7.227115895,1.845954136
2007,2016,8,31,2.077466026,1.742682198,2.054957096,1.759293293,6.590830175,1.692885494,2.13962789,2.219854886
2012,2016,8,31,4.130824608,0.490831296,1.068223508,0.390377027,0.750122291,0.463895894,5.280450615,0.98682139
2013,2016,8,31,3.818228419,1.733949946,1.444089116,1.363434611,0.933593267,0.653704052,4.778775972,0.847406206
2014,2016,8,31,4.046967868,0.658222881,1.018907898,0.455138295,0.755817297,0.587898587,5.157619871,0.799151975
2019,2016,8,1,0.639752731,0.800057068,3.353363647,0.861878052,3.040274277,0.730126038,1.503678665,1.351637497
2020,2016,8,1,1.897768326,2.230081253,2.099958115,2.165935211,2.516181641,2.075002365,3.066055603,2.346118622
2021,2016,8,3,2.648838005,1.163078459,2.272365983,0.867459667,2.553130075,0.720564651,3.64566971,1.249851775
2023,2016,8,1,3.561000748,0.947357254,0.166995926,1.485513763,0.508779602,0.061017914,4.788322372,0.412612839
2027,2016,8,1,6.191063461,1.379381714,2.338982162,0.831459579,1.830582199,3.1928125,7.425194321,2.8160215
2030,2016,8,2,3.340230308,1.310437486,0.985641278,1.385587692,1.078149598,0.976385842,4.535958543,1.512170078
2031,2016,8,2,6.701069139,3.331659845,3.332165061,3.540905315,2.913017758,3.116336289,7.788469364,4.239627744
2033,2016,8,3,5.551371905,1.606769368,2.065075841,2.106443661,1.87713892,2.3206892,6.746366146,2.582467672
2034,2016,8,1,4.149343262,0.224195709,0.966848145,1.248407593,0.026086578,0.691552887,5.384130249,0.924632797
2035,2016,8,1,8.455024033,4.29502037,6.794921188,4.673314362,4.633847504,6.278779297,9.708508759,5.812909393
2036,2016,8,2,3.929332757,0.441910889,0.686589728,0.52166586,1.088245849,1.462599977,5.260694443,0.724042923
2037,2016,8,31,5.643473135,1.106424216,2.26759808,0.774552032,1.874164071,0.535046876,6.845403621,0.648254667
2040,2016,8,2,8.548825893,3.084654713,4.495051812,1.904512275,4.156128304,3.342125483,9.794020532,4.532568018
2044,2016,8,1,4.182141342,0.636158905,0.593752899,0.758397064,0.387864151,0.159951172,5.426346817,1.051781616
2046,2016,8,31,6.741893002,3.381342909,3.975738893,2.277928075,2.755754329,1.734137811,7.854468226,2.182012913
